video_name,frame_paths,frame_numbers,text_label,category_en,light_conditions,weather,scene,source_category
00822.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00822\pre_event\00822_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00822\pre_event\00822_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00822\pre_event\00822_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00822\pre_event\00822_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00822\pre_event\00822_pre_05.jpg,93|100|106|113|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and cloudy weather, showing a same-direction center rear-end or forward collision conflict.",same-direction center rear-end or forward collision conflict,Normal,Cloudy,Urban,8
00208.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00208\pre_event\00208_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00208\pre_event\00208_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00208\pre_event\00208_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00208\pre_event\00208_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00208\pre_event\00208_pre_05.jpg,102|106|111|116|120,"A pre-crash dashcam traffic scene on a sub-urban road, under normal light and cloudy weather, showing a opposite-direction frontal center collision conflict.",opposite-direction frontal center collision conflict,Normal,Cloudy,Sub-urban,3
00072.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00072\pre_event\00072_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00072\pre_event\00072_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00072\pre_event\00072_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00072\pre_event\00072_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00072\pre_event\00072_pre_05.jpg,116|117|118|119|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and clear weather, showing a same-direction right-rear collision conflict.",same-direction right-rear collision conflict,Normal,Clear,Urban,4
00128.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00128\pre_event\00128_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00128\pre_event\00128_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00128\pre_event\00128_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00128\pre_event\00128_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00128\pre_event\00128_pre_05.jpg,91|98|106|113|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and clear weather, showing a same-direction right-front collision conflict.",same-direction right-front collision conflict,Normal,Clear,Urban,5
00205.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00205\pre_event\00205_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00205\pre_event\00205_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00205\pre_event\00205_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00205\pre_event\00205_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00205\pre_event\00205_pre_05.jpg,30|52|75|98|120,"A pre-crash dashcam traffic scene on a highway road, under normal light and clear weather, showing a same-direction center rear-end or forward collision conflict.",same-direction center rear-end or forward collision conflict,Normal,Clear,Highway,8
00408.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00408\pre_event\00408_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00408\pre_event\00408_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00408\pre_event\00408_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00408\pre_event\00408_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00408\pre_event\00408_pre_05.jpg,48|66|84|102|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and clear weather, showing a same-direction left-front collision conflict.",same-direction left-front collision conflict,Normal,Clear,Urban,7
00948.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00948\pre_event\00948_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00948\pre_event\00948_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00948\pre_event\00948_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00948\pre_event\00948_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00948\pre_event\00948_pre_05.jpg,88|96|104|112|120,"A pre-crash dashcam traffic scene on a sub-urban road, under normal light and clear weather, showing a opposite-direction left-side collision conflict.",opposite-direction left-side collision conflict,Normal,Clear,Sub-urban,2
00457.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00457\pre_event\00457_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00457\pre_event\00457_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00457\pre_event\00457_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00457\pre_event\00457_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00457\pre_event\00457_pre_05.jpg,113|115|116|118|120,"A pre-crash dashcam traffic scene on a sub-urban road, under normal light and cloudy weather, showing a same-direction left-rear collision conflict.",same-direction left-rear collision conflict,Normal,Cloudy,Sub-urban,6
00471.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00471\pre_event\00471_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00471\pre_event\00471_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00471\pre_event\00471_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00471\pre_event\00471_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00471\pre_event\00471_pre_05.jpg,74|86|97|108|120,"A pre-crash dashcam traffic scene on a highway road, under normal light and clear weather, showing a same-direction center rear-end or forward collision conflict.",same-direction center rear-end or forward collision conflict,Normal,Clear,Highway,8
00900.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00900\pre_event\00900_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00900\pre_event\00900_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00900\pre_event\00900_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00900\pre_event\00900_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00900\pre_event\00900_pre_05.jpg,22|46|71|96|120,"A pre-crash dashcam traffic scene on a sub-urban road, under bright light and clear weather, showing a same-direction right-front collision conflict.",same-direction right-front collision conflict,Bright,Clear,Sub-urban,5
