video_name,frame_paths,frame_numbers,text_label,category_en,light_conditions,weather,scene,source_category,annotation_count,annotator_texts,fusion_mode
00822.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00822\pre_event\00822_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00822\pre_event\00822_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00822\pre_event\00822_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00822\pre_event\00822_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00822\pre_event\00822_pre_05.jpg,93|100|106|113|120,"Pay attention to the vehicle ahead because a sudden stop may lead to a collision It is daytime. The dashcam vehicle travels straight. The vehicle ahead brakes. The dashcam vehicle does not brake in time and is rapidly approaching it. Multiple vehicles at a busy intersection with traffic lights and buildings. A white convertible moves into the ego-vehicle's lane from the right. The ego-vehicle must brake to avoid a collision with the convertible. The camera car drives straight ahead; meanwhile, the front vehicle suddenly stops; the gap becomes too short, creating rear-end collision risk. The video vehicle was traveling straight when the vehicle in front suddenly stopped, and the video vehicle, not maintaining a safe distance, continued forward, resulting in a collision. At an intersection, the dashcam vehicle brakes or slows late while a vehicle ahead brakes or stops suddenly.",same-direction center rear-end or forward collision conflict,Normal,Cloudy,Urban,8,6,"Pay attention to the vehicle ahead because a sudden stop may lead to a collision || It is daytime. The dashcam vehicle travels straight. The vehicle ahead brakes. The dashcam vehicle does not brake in time and is rapidly approaching it. || Multiple vehicles at a busy intersection with traffic lights and buildings. A white convertible moves into the ego-vehicle's lane from the right. The ego-vehicle must brake to avoid a collision with the convertible. || The camera car drives straight ahead; meanwhile, the front vehicle suddenly stops; the gap becomes too short, creating rear-end collision risk. || The video vehicle was traveling straight when the vehicle in front suddenly stopped, and the video vehicle, not maintaining a safe distance, continued forward, resulting in a collision. || At an intersection, the dashcam vehicle brakes or slows late while a vehicle ahead brakes or stops suddenly.",normalized
00208.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00208\pre_event\00208_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00208\pre_event\00208_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00208\pre_event\00208_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00208\pre_event\00208_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00208\pre_event\00208_pre_05.jpg,102|106|111|116|120,"Pay attention to the left front side because the turning vehicle may lead to a collision It is overcast. The dashcam vehicle travels straight at a relatively high speed. An oncoming vehicle is clearly visible with no obstruction. That vehicle turns right and collides with the dashcam vehicle. Intersection with traffic lights, multiple vehicles, and clear weather. A sedan turns left across the ego-vehicle's path without signaling. The ego-vehicle brakes hard to avoid a collision. While at an intersection and during a green light, the camera car turns left as a front-left vehicle cuts toward its path; an oncoming vehicle turns across the lane, producing intersection collision risk. The dashcam vehicle collided with the left-turning vehicle from the opposite direction while traveling straight through the intersection on a green light. At an intersection, the dashcam vehicle brakes or slows late while another road user brakes or stops suddenly.",opposite-direction frontal center collision conflict,Normal,Cloudy,Sub-urban,3,6,"Pay attention to the left front side because the turning vehicle may lead to a collision || It is overcast. The dashcam vehicle travels straight at a relatively high speed. An oncoming vehicle is clearly visible with no obstruction. That vehicle turns right and collides with the dashcam vehicle. || Intersection with traffic lights, multiple vehicles, and clear weather. A sedan turns left across the ego-vehicle's path without signaling. The ego-vehicle brakes hard to avoid a collision. || While at an intersection and during a green light, the camera car turns left as a front-left vehicle cuts toward its path; an oncoming vehicle turns across the lane, producing intersection collision risk. || The dashcam vehicle collided with the left-turning vehicle from the opposite direction while traveling straight through the intersection on a green light. || At an intersection, the dashcam vehicle brakes or slows late while another road user brakes or stops suddenly.",normalized
00072.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00072\pre_event\00072_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00072\pre_event\00072_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00072\pre_event\00072_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00072\pre_event\00072_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00072\pre_event\00072_pre_05.jpg,116|117|118|119|120,"Pay attention to the right lane because the through vehicle may collide with the right-turning vehicle The dashcam vehicle is in the middle lane and moves to the right to make a right turn. It collides with a vehicle approaching from the right rear. Nighttime city intersection with green lights and surrounding traffic. A white sedan abruptly turns left across the ego-vehicle's path. The ego-vehicle brakes hard to avoid a collision. As I turn right at the intersection, a vehicle approaches me from my right rear. At an intersection, the dashcam vehicle brakes or slows late while a vehicle from the right brakes or stops suddenly.",same-direction right-rear collision conflict,Normal,Clear,Urban,4,5,"Pay attention to the right lane because the through vehicle may collide with the right-turning vehicle || The dashcam vehicle is in the middle lane and moves to the right to make a right turn. It collides with a vehicle approaching from the right rear. || Nighttime city intersection with green lights and surrounding traffic. A white sedan abruptly turns left across the ego-vehicle's path. The ego-vehicle brakes hard to avoid a collision. || As I turn right at the intersection, a vehicle approaches me from my right rear. || At an intersection, the dashcam vehicle brakes or slows late while a vehicle from the right brakes or stops suddenly.",normalized
00128.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00128\pre_event\00128_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00128\pre_event\00128_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00128\pre_event\00128_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00128\pre_event\00128_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00128\pre_event\00128_pre_05.jpg,91|98|106|113|120,"Pay attention to the right front side because the suddenly moving vehicle may lead to a collision The dashcam vehicle travels straight. A white car parked by the roadside suddenly turns left and collides with it. A two-lane street with parked cars on both sides and clear daytime weather. A white sedan suddenly pulls out from the right side into the ego-vehicle's path. The ego-vehicle brakes hard to avoid a collision with the white sedan. While under strong glare and on a narrow road, the camera car changes into the left lane as a right-lane vehicle changes left into its path; the gap becomes too short, raising lane-change collision risk. As I drive straight, a vehicle parked on the right side of the road suddenly starts moving and enters the main road On an urban road, the dashcam vehicle brakes or slows late while a vehicle from the right brakes or stops suddenly.",same-direction right-front collision conflict,Normal,Clear,Urban,5,6,"Pay attention to the right front side because the suddenly moving vehicle may lead to a collision || The dashcam vehicle travels straight. A white car parked by the roadside suddenly turns left and collides with it. || A two-lane street with parked cars on both sides and clear daytime weather. A white sedan suddenly pulls out from the right side into the ego-vehicle's path. The ego-vehicle brakes hard to avoid a collision with the white sedan. || While under strong glare and on a narrow road, the camera car changes into the left lane as a right-lane vehicle changes left into its path; the gap becomes too short, raising lane-change collision risk. || As I drive straight, a vehicle parked on the right side of the road suddenly starts moving and enters the main road || On an urban road, the dashcam vehicle brakes or slows late while a vehicle from the right brakes or stops suddenly.",normalized
00205.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00205\pre_event\00205_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00205\pre_event\00205_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00205\pre_event\00205_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00205\pre_event\00205_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00205\pre_event\00205_pre_05.jpg,30|52|75|98|120,"Pay attention to the vehicle ahead because failing to keep a safe distance may lead to a collision It is night. The traffic light is green. The dashcam vehicle travels straight. A black car from the left runs a red light and goes straight across. The dashcam vehicle decelerates but collides with the black car. Nighttime highway with multiple vehicles, illuminated streetlights, and exit signs. The vehicle in front brakes suddenly, causing the ego-vehicle to slow down. The ego-vehicle maintains a safe distance, avoiding a collision. As the ego vehicle drives straight ahead, the front vehicle remains very close; the gap becomes too short, creating rear-end collision risk. The dashcam car continued moving forward without maintaining a safe distance from the vehicle in front and collided with it. At night, the dashcam vehicle is moving forward while a vehicle ahead brakes or stops suddenly.",same-direction center rear-end or forward collision conflict,Normal,Clear,Highway,8,6,"Pay attention to the vehicle ahead because failing to keep a safe distance may lead to a collision || It is night. The traffic light is green. The dashcam vehicle travels straight. A black car from the left runs a red light and goes straight across. The dashcam vehicle decelerates but collides with the black car. || Nighttime highway with multiple vehicles, illuminated streetlights, and exit signs. The vehicle in front brakes suddenly, causing the ego-vehicle to slow down. The ego-vehicle maintains a safe distance, avoiding a collision. || As the ego vehicle drives straight ahead, the front vehicle remains very close; the gap becomes too short, creating rear-end collision risk. || The dashcam car continued moving forward without maintaining a safe distance from the vehicle in front and collided with it. || At night, the dashcam vehicle is moving forward while a vehicle ahead brakes or stops suddenly.",normalized
00408.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00408\pre_event\00408_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00408\pre_event\00408_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00408\pre_event\00408_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00408\pre_event\00408_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00408\pre_event\00408_pre_05.jpg,48|66|84|102|120,"Pay attention to the vehicle changing lanes to the right because it may lead to a collision The dashcam vehicle travels straight. A vehicle on the left, which was previously stopped, suddenly starts moving and is entering the dashcam vehicle's path. Nighttime urban street with buildings, trucks, cars, and pedestrians. Trucks and cars are moving slowly, pedestrians are walking on the sidewalk. No immediate collision or near-miss, traffic continues smoothly. The ego vehicle changes into the right lane when a front-left vehicle cuts toward its path, raising lane-change collision risk. As the video car is driving straight, the vehicle on its left front suddenly changes lanes to the right. The video car, unable to decelerate in time, results in a collision. At night, the dashcam vehicle is moving forward while a vehicle from the left creates a dangerous conflict.",same-direction left-front collision conflict,Normal,Clear,Urban,7,6,"Pay attention to the vehicle changing lanes to the right because it may lead to a collision || The dashcam vehicle travels straight. A vehicle on the left, which was previously stopped, suddenly starts moving and is entering the dashcam vehicle's path. || Nighttime urban street with buildings, trucks, cars, and pedestrians. Trucks and cars are moving slowly, pedestrians are walking on the sidewalk. No immediate collision or near-miss, traffic continues smoothly. || The ego vehicle changes into the right lane when a front-left vehicle cuts toward its path, raising lane-change collision risk. || As the video car is driving straight, the vehicle on its left front suddenly changes lanes to the right. The video car, unable to decelerate in time, results in a collision. || At night, the dashcam vehicle is moving forward while a vehicle from the left creates a dangerous conflict.",normalized
00948.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00948\pre_event\00948_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00948\pre_event\00948_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00948\pre_event\00948_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00948\pre_event\00948_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00948\pre_event\00948_pre_05.jpg,88|96|104|112|120,"Pay attention to the vehicle turning left because it may lead to a collision It is daytime. The dashcam vehicle travels straight. At a three-way junction, a vehicle emerges from the left road. The dashcam vehicle steers right and brakes in time, leaving a very small gap between them. Residential street with parked cars, trees, and houses under clear skies. Ego-vehicle maintains steady speed, no sudden movements or lane changes. No collision or near-miss, smooth driving continues. In a scene at an intersection, the dashcam vehicle drives straight ahead when a vehicle on the left gets too close, producing intersection collision risk. The video car went straight at the intersection when a vehicle from the left side road suddenly turned left, resulting in a collision. At an intersection, the dashcam vehicle brakes or slows late while a vehicle from the left cuts in or changes lanes.",opposite-direction left-side collision conflict,Normal,Clear,Sub-urban,2,6,"Pay attention to the vehicle turning left because it may lead to a collision || It is daytime. The dashcam vehicle travels straight. At a three-way junction, a vehicle emerges from the left road. The dashcam vehicle steers right and brakes in time, leaving a very small gap between them. || Residential street with parked cars, trees, and houses under clear skies. Ego-vehicle maintains steady speed, no sudden movements or lane changes. No collision or near-miss, smooth driving continues. || In a scene at an intersection, the dashcam vehicle drives straight ahead when a vehicle on the left gets too close, producing intersection collision risk. || The video car went straight at the intersection when a vehicle from the left side road suddenly turned left, resulting in a collision. || At an intersection, the dashcam vehicle brakes or slows late while a vehicle from the left cuts in or changes lanes.",normalized
00457.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00457\pre_event\00457_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00457\pre_event\00457_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00457\pre_event\00457_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00457\pre_event\00457_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00457\pre_event\00457_pre_05.jpg,113|115|116|118|120,"Pay attention to the vehicle turning right because it may lead to a collision The dashcam vehicle turns right but does not complete the turn. A vehicle on the left also turns right, and both are heading into the same area. Multiple vehicles at a roundabout intersection on a clear day. Vehicles are navigating the roundabout, with one car entering from the right. No collision occurs, but the ego-vehicle slows down to yield. The dashcam vehicle turns right when a vehicle from the left moves right across its path, producing turning conflict risk. The video car was turning right when a vehicle in the left lane, also turning right, was moving too fast, resulting in a collision. At an intersection, the dashcam vehicle is turning right while a vehicle from the left brakes or stops suddenly.",same-direction left-rear collision conflict,Normal,Cloudy,Sub-urban,6,6,"Pay attention to the vehicle turning right because it may lead to a collision || The dashcam vehicle turns right but does not complete the turn. A vehicle on the left also turns right, and both are heading into the same area. || Multiple vehicles at a roundabout intersection on a clear day. Vehicles are navigating the roundabout, with one car entering from the right. No collision occurs, but the ego-vehicle slows down to yield. || The dashcam vehicle turns right when a vehicle from the left moves right across its path, producing turning conflict risk. || The video car was turning right when a vehicle in the left lane, also turning right, was moving too fast, resulting in a collision. || At an intersection, the dashcam vehicle is turning right while a vehicle from the left brakes or stops suddenly.",normalized
00471.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00471\pre_event\00471_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00471\pre_event\00471_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00471\pre_event\00471_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00471\pre_event\00471_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00471\pre_event\00471_pre_05.jpg,74|86|97|108|120,"Pay attention to the vehicle ahead because its sudden slowdown may lead to a collision The dashcam vehicle travels straight. The brake lights of the vehicle ahead illuminate and it brakes. The dashcam vehicle does not fully decelerate and is rapidly approaching it. Multiple vehicles on a multi-lane highway at night with street lighting. Vehicles are slowing down and stopping in traffic. The ego-vehicle maintains a safe distance and slows down accordingly. As the ego vehicle drives straight ahead, another road user enters a conflicting path, producing vehicle collision risk. The camera car was traveling straight when the vehicle ahead suddenly decelerated, resulting in a collision. At night, the dashcam vehicle brakes or slows late while a vehicle ahead brakes or stops suddenly.",same-direction center rear-end or forward collision conflict,Normal,Clear,Highway,8,6,"Pay attention to the vehicle ahead because its sudden slowdown may lead to a collision || The dashcam vehicle travels straight. The brake lights of the vehicle ahead illuminate and it brakes. The dashcam vehicle does not fully decelerate and is rapidly approaching it. || Multiple vehicles on a multi-lane highway at night with street lighting. Vehicles are slowing down and stopping in traffic. The ego-vehicle maintains a safe distance and slows down accordingly. || As the ego vehicle drives straight ahead, another road user enters a conflicting path, producing vehicle collision risk. || The camera car was traveling straight when the vehicle ahead suddenly decelerated, resulting in a collision. || At night, the dashcam vehicle brakes or slows late while a vehicle ahead brakes or stops suddenly.",normalized
00900.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00900\pre_event\00900_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00900\pre_event\00900_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00900\pre_event\00900_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00900\pre_event\00900_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00900\pre_event\00900_pre_05.jpg,22|46|71|96|120,"Pay attention to the vehicle turning left because it may lead to a collision It is daytime. The dashcam vehicle travels straight. A vehicle that was originally stopped in the right lane suddenly starts moving. The dashcam vehicle brakes in time and maintains a safe distance, leaving a clear gap between them. No collision occurs. Residential street with parked cars on both sides and clear weather. A black SUV is reversing into the street from a driveway. The ego-vehicle slows down to avoid a collision with the reversing SUV. The camera car drives straight ahead as a vehicle from the right moves left across its path, leading to turning conflict risk. Dashcam vehicle goes straight, vehicle in right lane makes left turn resulting in collision. Near a parking lot or driveway, the dashcam vehicle brakes or slows late while a vehicle from the right brakes or stops suddenly.",same-direction right-front collision conflict,Bright,Clear,Sub-urban,5,6,"Pay attention to the vehicle turning left because it may lead to a collision || It is daytime. The dashcam vehicle travels straight. A vehicle that was originally stopped in the right lane suddenly starts moving. The dashcam vehicle brakes in time and maintains a safe distance, leaving a clear gap between them. No collision occurs. || Residential street with parked cars on both sides and clear weather. A black SUV is reversing into the street from a driveway. The ego-vehicle slows down to avoid a collision with the reversing SUV. || The camera car drives straight ahead as a vehicle from the right moves left across its path, leading to turning conflict risk. || Dashcam vehicle goes straight, vehicle in right lane makes left turn resulting in collision. || Near a parking lot or driveway, the dashcam vehicle brakes or slows late while a vehicle from the right brakes or stops suddenly.",normalized
